transcript_id,CM_D18_R2,CM_D3_R2,CM_D0_R2,CM_D18_R1,CM_D3_R1,CM_D0_R1
ENST00000831460,0,0,0,0,0,0
ENST00000831470,0,0,0,0,0,1
ENST00000831480,0,0,0,1,8,6
ENST00000831481,0,4,0,0,0,0
ENST00000831482,0,10,0,0,1,1
ENST00000831484,0,0,0,0,0,0
ENST00000831487,0,0,0,0,0,0
ENST00000831504,0,0,0,0,0,0
ENST00000831508,0,0,0,0,0,0
ENST00000831509,0,0,0,0,0,0
ENST00000831514,0,5,0,0,0,0
ENST00000831739,0,0,0,0,0,0
ENST00000831500,0,0,0,0,0,0
ENST00000488147,0,0,0,0,0,0
ENST00000831524,0,0,0,0,0,0
ENST00000831527,0,0,0,0,0,0
ENST00000831528,0,0,0,0,0,0
ENST00000831533,0,0,0,0,0,0
ENST00000831526,0,0,0,0,0,0
ENST00000831529,0,0,0,0,0,0
ENST00000831530,0,0,0,0,0,0
ENST00000831531,0,0,0,0,0,0
ENST00000831532,0,0,0,0,0,0
ENST00000831534,0,0,0,0,0,0
ENST00000831535,0,0,0,0,0,0
ENST00000831555,0,0,0,0,0,0
ENST00000831628,0,0,0,0,0,0
ENST00000831710,0,0,0,0,0,0
ENST00000831538,0,0,0,0,0,0
ENST00000831539,0,0,0,0,0,0
ENST00000831540,0,1,0,0,0,0
ENST00000831544,0,0,0,0,0,0
ENST00000831558,0,0,0,2,0,0
ENST00000831590,0,0,0,0,0,0
ENST00000831603,0,0,0,0,0,0
ENST00000831604,0,0,0,0,0,0
ENST00000831712,0,0,0,0,0,0
ENST00000831714,0,0,0,0,0,0
ENST00000831715,0,2,0,0,0,0
ENST00000831716,0,0,0,0,79,0
ENST00000831536,0,0,0,0,0,0
ENST00000831541,0,2,0,2,0,0
ENST00000831542,0,0,0,0,0,0
ENST00000831543,0,2,0,0,0,0
ENST00000831545,0,0,0,0,0,0
ENST00000831546,0,0,0,0,0,0
ENST00000831547,0,0,0,0,0,0
ENST00000831548,0,0,0,0,0,0
ENST00000831549,0,0,0,0,0,0
ENST00000831550,0,0,0,0,0,0
ENST00000831551,0,0,0,0,0,0
ENST00000831553,0,0,0,0,0,0
ENST00000831556,0,0,0,0,0,0
ENST00000831563,0,0,0,0,0,0
ENST00000831564,0,0,0,0,0,0
ENST00000831565,0,0,0,0,0,0
ENST00000831567,0,0,0,0,0,0
ENST00000831568,0,2,0,0,0,0
ENST00000831569,0,0,0,0,0,0
ENST00000831570,0,0,0,0,0,0
ENST00000831571,0,0,0,0,0,0
ENST00000831572,0,0,0,0,0,0
ENST00000831573,0,33,0,1,2,7
ENST00000831574,0,0,0,0,0,0
ENST00000831575,0,0,0,0,0,0
ENST00000831576,0,0,0,0,0,0
ENST00000831577,0,0,0,0,0,0
ENST00000831578,0,0,0,0,0,0
ENST00000831579,0,0,0,0,0,0
ENST00000831580,0,0,0,0,0,0
ENST00000831583,0,0,0,0,0,0
ENST00000831584,0,0,0,0,0,0
ENST00000831586,0,0,0,0,0,0
ENST00000831588,0,0,0,0,0,0
ENST00000831595,0,0,0,0,0,0
ENST00000831602,0,0,0,0,0,0
ENST00000831605,0,0,0,0,0,0
ENST00000831606,0,0,0,0,0,0
ENST00000831607,0,0,0,0,0,0
ENST00000831608,0,0,0,0,0,0
ENST00000831610,0,0,0,0,0,0
ENST00000831611,0,0,0,0,0,0
ENST00000831614,0,0,0,0,0,0
ENST00000831615,0,0,0,0,0,0
ENST00000831617,0,0,0,0,0,0
ENST00000831618,0,0,0,0,0,0
ENST00000831619,0,0,0,0,0,0
ENST00000831621,0,0,0,0,0,0
ENST00000831622,0,1,0,5,0,0
ENST00000831624,0,0,0,0,0,0
ENST00000831625,0,0,0,0,0,0
ENST00000831626,0,0,0,0,0,0
ENST00000831627,0,0,0,0,0,0
ENST00000831629,0,0,0,0,0,0
ENST00000831632,0,0,0,0,0,0
ENST00000831633,0,2,0,0,0,0
ENST00000831636,0,0,0,0,0,0
ENST00000831639,0,0,0,0,0,0
ENST00000831640,0,0,0,0,0,0
ENST00000831645,0,0,0,0,0,0
ENST00000831525,0,0,0,0,0,0
ENST00000831521,0,0,0,0,0,0
ENST00000831522,0,0,0,0,0,0
ENST00000831523,0,0,0,0,0,0
ENST00000831520,0,0,0,0,1,0
ENST00000831582,0,0,0,0,0,1
ENST00000831741,0,0,0,0,0,0
ENST00000831537,0,0,0,0,0,0
ENST00000831587,0,0,0,0,0,0
ENST00000831593,0,0,0,0,0,0
ENST00000831612,0,3,0,0,1,1
ENST00000831613,0,0,0,15,0,0
ENST00000831635,0,0,0,0,0,0
ENST00000831638,0,0,0,0,0,0
ENST00000831646,0,0,0,0,0,0
ENST00000831589,0,0,0,0,0,0
ENST00000831644,0,0,0,0,0,0
ENST00000831560,0,0,0,0,0,0
ENST00000831594,0,0,0,0,0,0
ENST00000831634,0,0,0,0,0,0
ENST00000831637,0,0,0,0,0,0
ENST00000831647,0,1,0,0,0,0
ENST00000831648,0,0,0,0,0,0
ENST00000831649,0,0,0,0,0,0
ENST00000831653,0,0,0,0,0,0
ENST00000831655,0,0,0,0,0,0
ENST00000831656,0,0,0,0,0,0
ENST00000831658,0,0,0,0,0,0
ENST00000831659,0,0,0,0,0,0
ENST00000831661,0,0,0,0,0,0
ENST00000831662,0,0,0,0,0,0
ENST00000831664,0,0,0,0,0,0
ENST00000831665,0,0,0,0,0,0
ENST00000831674,0,0,0,0,0,0
ENST00000831675,0,0,0,0,0,0
ENST00000831709,0,0,0,0,0,0
ENST00000831720,0,0,0,0,0,0
ENST00000831721,0,0,0,0,0,0
ENST00000831726,0,0,0,0,0,0
ENST00000831728,0,0,0,0,0,0
ENST00000831748,0,0,0,0,0,0
ENST00000831729,0,0,0,0,0,0
ENST00000831732,0,0,0,0,0,0
ENST00000831737,0,0,0,0,0,0
ENST00000831718,0,0,0,0,0,0
ENST00000831719,0,0,0,0,0,0
ENST00000831730,0,0,0,0,0,0
ENST00000831731,0,0,0,0,0,0
ENST00000831735,0,0,0,0,0,1
ENST00000832836,2,0,4,0,2,0
ENST00000832847,1,0,2,0,0,0
MSTRG.2.1,46,71,48,54,88,26
MSTRG.2.12,46,33,1,37,52,40
ENST00000831185,1,8,0,0,0,7
ENST00000831414,18,0,15,2,0,1
MSTRG.2.52,772,896,324,664,548,661
ENST00000831491,52,0,0,2,0,0
ENST00000831323,3,4,6,2,4,5
ENST00000831678,3,7,0,4,10,3
ENST00000831559,2,99,0,0,0,0
ENST00000831609,9,0,0,0,0,0
ENST00000831566,4,0,0,0,0,0
ENST00000831677,13,12,17,17,16,19
ENST00000831585,3,0,0,0,0,0
ENST00000831657,5,0,0,0,0,0
ENST00000831651,6,0,2,0,0,0
ENST00000831650,4,0,0,0,0,0
ENST00000619216,1,5,1,1,1,1
ENST00000831725,1,3,0,2,0,0
ENST00000831724,1,0,13,5,3,1
ENST00000834619,12,18,12,15,9,21
ENST00000834618,7,0,0,0,6,14
ENST00000473358,4,0,2,6,2,6
ENST00000469289,1,0,0,0,4,2
ENST00000607096,1,1,0,1,1,1
ENST00000606034,46,0,0,65,0,1
ENST00000959612,0,0,0,0,0,0
ENST00000880611,0,0,0,0,0,0
ENST00000379410,0,0,0,0,0,0
ENST00000880612,0,0,0,0,0,0
ENST00000880610,0,0,0,0,0,0
ENST00000880609,0,0,0,0,0,0
ENST00000379407,0,0,0,0,0,0
ENST00000379409,0,0,0,0,0,0
ENST00000959613,0,26,10,0,33,0
ENST00000480267,0,0,0,0,0,0
ENST00000491024,0,0,0,0,0,0
ENST00000959770,0,0,0,0,0,0
ENST00000880867,0,0,0,0,0,0
ENST00000433179,0,0,0,0,0,0
ENST00000880869,0,0,0,0,0,0
ENST00000880868,0,0,0,0,0,0
ENST00000959772,0,0,0,0,0,0
ENST00000880870,0,0,0,0,0,0
ENST00000341290,0,0,0,0,0,0
ENST00000479361,0,0,0,0,0,0
ENST00000959773,0,10,0,0,0,0
ENST00000959771,0,0,0,0,0,0
ENST00000694917,0,0,0,0,0,0
ENST00000880608,30,0,10,78,16,35
ENST00000854802,0,0,0,0,0,0
ENST00000624652,0,0,0,0,0,0
ENST00000428771,368,37,6,250,50,8
ENST00000304952,613,0,47,770,55,50
ENST00000481869,229,10,5,207,3,10
ENST00000484667,51,0,0,116,0,0
ENST00000796159,16,0,1,21,5,1
ENST00000624697,64,0,0,26,10,0
MSTRG.49.1,27,0,0,10,2,0
ENST00000796077,17,2,0,10,0,0
ENST00000944242,156,23,0,185,248,2
ENST00000423619,2,0,0,3,0,2
