gene_id,SRR35049344,SRR35049350,SRR35049353,SRR35049354,SRR35049360,SRR35049363
MSTRG.84|LINC01770,30,32,33,60,44,66
MSTRG.85|VWA1,1714,644,1130,4602,620,639
MSTRG.83|TMEM88B,57,37,52,65,37,60
MSTRG.93|FNDC10,192,172,591,339,339,901
ENSG00000286989,2,12,6,16,14,5
MSTRG.86|ATAD3C,42,72,64,14,19,41
MSTRG.86,749,1149,1009,604,801,1841
MSTRG.86|ATAD3B,99,554,1695,156,159,548
MSTRG.87,13,13,11,13,4,10
MSTRG.86|ATAD3A,502,808,2424,770,649,1312
MSTRG.89,0,0,3,0,0,2
MSTRG.90|SSU72,2654,3203,4456,3216,3213,6598
MSTRG.91|SSU72-AS1,35,44,59,66,47,63
MSTRG.92,0,0,0,0,0,0
MSTRG.88|TMEM240,119,44,41,71,77,89
MSTRG.95|MIB2,1054,1369,305,1354,883,746
MSTRG.94,465,173,157,441,206,242
MSTRG.95,2,0,283,2,0,0
MSTRG.103,2053,1829,1977,2141,1615,2462
MSTRG.103|NADK,60,194,341,186,64,170
MSTRG.96|MMP23B,164,32,51,199,92,44
MSTRG.97|CDK11B,53,551,11,102,16,36
MSTRG.97,6506,3475,5077,10759,7252,5882
MSTRG.98,0,0,0,0,0,1
MSTRG.97|SLC35E2B,6248,4440,2603,2149,1196,3602
MSTRG.100,178,92,135,285,100,83
MSTRG.101,182,108,128,146,138,221
MSTRG.97|CDK11A,43,167,58,258,52,36
MSTRG.102,79,42,30,58,50,39
MSTRG.99,214,180,104,170,143,154
MSTRG.100|MMP23A,17,0,0,15,8,0
MSTRG.97|SLC35E2A,91,27,3,23,8,4
ENSG00000294910,0,0,0,0,0,0
MSTRG.107|TMEM52,21,49,104,24,52,181
MSTRG.107,0,15,0,0,21,74
ENSG00000233542,0,4,0,0,0,0
ENSG00000226969|PRKCZ-DT,0,11,0,4,0,5
ENSG00000187730|GABRD,5,3,5,1,2,15
MSTRG.108|CFAP74,81,9,0,5,0,11
MSTRG.108,2,0,0,0,0,0
MSTRG.104,7,8,4,12,3,20
MSTRG.105|GNB1,13690,11539,18563,12997,14354,17873
MSTRG.106|GNB1-DT,10,27,8,30,29,28
MSTRG.105,25,8,68,29,18,118
MSTRG.109|PRKCZ,1213,1272,1088,1873,2261,1085
MSTRG.111,0,22,19,26,15,28
MSTRG.112|PRKCZ-AS1,116,97,75,103,90,83
MSTRG.113|FAAP20,850,2232,559,1549,2353,2588
MSTRG.114,3,0,0,0,0,0
MSTRG.115,0,0,0,0,0,0
MSTRG.116,0,0,0,0,6,3
MSTRG.110,6,3,0,19,0,0
MSTRG.109,170,0,0,100,0,0
MSTRG.113,351,48,797,213,0,0
MSTRG.117|SKI,4976,3812,6070,4503,4559,6658
MSTRG.118,2,3,0,0,0,0
ENSG00000149527|PLCH2,45,57,6,32,11,24
ENSG00000224387,0,0,0,0,0,0
ENSG00000229393,0,0,0,0,0,0
MSTRG.129|PANK4,631,498,476,555,535,470
ENSG00000228037,16,7,9,0,4,11
ENSG00000307958,3,8,0,0,0,0
MSTRG.135,7,15,14,13,34,14
MSTRG.131,52,94,14,25,44,55
MSTRG.132|TNFRSF14-AS1,0,19,0,3,0,0
MSTRG.133,0,0,2,2,0,0
MSTRG.134|TNFRSF14,2,155,7,0,12,2
MSTRG.130|HES5,403,0,0,340,0,0
MSTRG.119,100,210,49,199,152,97
MSTRG.120|MORN1,336,262,206,384,263,169
MSTRG.126,0,0,0,0,0,0
MSTRG.127|RER1,2077,3170,2970,2750,2489,2470
MSTRG.128|PEX10,956,947,997,883,1019,806
MSTRG.128,0,14,69,0,11,34
MSTRG.121,4,0,0,0,4,0
MSTRG.122,101,19,44,124,74,39
MSTRG.123,20,9,13,8,37,2
MSTRG.124,8,9,4,18,17,5
MSTRG.125,314,232,119,180,292,123
MSTRG.120,404,180,0,229,292,199
MSTRG.136|PRXL2B,1409,1421,1898,1504,1536,1933
MSTRG.137|MMEL1,0,0,0,4,0,0
MSTRG.138|MMEL1-AS1,6,3,0,0,0,0
ENSG00000215912|TTC34,125,184,39,174,211,85
ENSG00000285945,0,0,0,0,0,0
ENSG00000283259,0,0,0,0,0,0
ENSG00000272088,6,5,3,4,4,1
MSTRG.149|ARHGEF16,436,2013,829,721,1469,523
MSTRG.139|PRDM16-DT,9,0,0,34,1,0
MSTRG.140|PRDM16,48,90,22,201,98,38
MSTRG.141|MIR4251,0,0,0,0,0,0
MSTRG.142,0,0,0,0,0,0
MSTRG.143,0,0,0,0,0,0
MSTRG.144,0,0,0,0,0,0
MSTRG.145,0,0,0,0,0,0
MSTRG.147,1,4,0,10,0,6
MSTRG.148,0,5,0,0,0,0
MSTRG.146,2,0,0,0,0,0
MSTRG.152,0,0,0,0,0,0
MSTRG.153,30,20,16,34,24,12
MSTRG.154|TPRG1L,1302,1880,1040,2523,2407,748
MSTRG.150|MEGF6,508,1931,312,714,283,281
MSTRG.150,688,853,5,844,1361,7
MSTRG.151|MIR551A,0,0,0,0,0,0
