gene_id,CM_D0_R1,CM_D0_R2,CM_D18_R1,CM_D18_R2,CM_D3_R1,CM_D3_R2
MSTRG.62|FAM87B,8,8,72,21,40,31
MSTRG.46|LINC00115,50,59,177,103,65,225
MSTRG.44|LINC01786,0,5,5,0,0,2
MSTRG.44,10,80,103,115,11,104
MSTRG.44|SCNN1D,44,12,119,115,33,143
MSTRG.45,13,9,32,17,0,14
MSTRG.43|UBE2J2,2360,1576,899,1350,1451,1569
MSTRG.43,293,85,165,59,182,343
MSTRG.84|ACAP3,830,662,2773,1693,709,706
MSTRG.84|MIR6726,0,0,2,0,0,0
MSTRG.86|INTS11,2940,2157,1128,1668,856,1343
MSTRG.86|ENSG00000240731,0,0,0,0,0,0
MSTRG.87|CPTP,616,411,399,633,382,508
MSTRG.84,11,5,116,60,0,8
MSTRG.85,384,309,29,0,0,150
MSTRG.85|PUSL1,949,701,191,317,257,347
MSTRG.86,1159,1735,1171,899,923,2427
MSTRG.86|MIR6727,1,1,1,1,1,1
MSTRG.66|MXRA8,30,36,232,1225,84,152
MSTRG.66,184,166,906,3201,452,1050
MSTRG.68|AURKAIP1,4553,3918,999,1726,1741,2829
ENSG00000223663.2|NDUFB4P8,0,0,8,7,4,4
MSTRG.76|CCNL2,971,614,1497,1768,1036,1644
MSTRG.76,2156,1884,7351,3563,4450,5297
MSTRG.77|MRPL20-AS1,935,834,429,712,635,810
MSTRG.78|MRPL20,2716,2062,923,1195,1433,1858
MSTRG.69,0,3,0,0,18,0
MSTRG.70|ANKRD65,3,36,50,304,19,92
MSTRG.73|LINC01770,43,26,64,40,33,25
MSTRG.75|ATAD3C,76,55,39,17,40,47
MSTRG.88,4575,1868,1985,1004,1367,2335
MSTRG.88|ATAD3B,362,212,258,181,511,195
MSTRG.89|ENSG00000284740,0,0,0,0,0,0
MSTRG.89,0,9,9,12,3,10
MSTRG.89|ENSG00000290916,7,0,24,10,9,0
MSTRG.88|ATAD3A,2083,2128,855,991,835,1039
ENSG00000274481.1|ENSG00000274481,0,0,0,0,0,0
MSTRG.83,0,38,0,0,0,0
MSTRG.136|MIB2,650,230,1525,547,980,1129
MSTRG.64|TAS1R3,18,21,107,47,31,56
MSTRG.65|DVL1,1614,1392,885,1067,445,1501
MSTRG.65,1135,847,2,611,728,826
MSTRG.65|MIR6808,1,1,1,0,1,1
MSTRG.67,1,2,23,39,27,44
MSTRG.78|RN7SL657P,1,1,1,1,6,2
MSTRG.79|MRPL20-DT,247,283,118,204,192,415
MSTRG.70,16,16,0,98,0,0
MSTRG.71|ANKRD65-AS1,4,6,0,21,0,15
MSTRG.72|TMEM88B,173,65,87,114,38,153
MSTRG.73,6,61,0,58,0,145
MSTRG.74|VWA1,1920,697,449,1489,303,1022
MSTRG.75,4,5,1,29,1,2
MSTRG.90|TMEM240,127,72,74,216,24,103
MSTRG.91,2,5,18,9,0,4
MSTRG.80|SSU72,7911,5332,2073,2988,3392,4663
MSTRG.81|ENSG00000215014,48,61,32,65,75,88
MSTRG.82|FNDC10,1489,1513,215,574,262,479
MSTRG.83|ENSG00000286989,12,7,20,10,18,25
MSTRG.135|ENSG00000272106,287,293,495,865,293,366
MSTRG.136,425,1025,725,1554,0,624
ENSG00000233542.2|ENSG00000233542,4,0,0,0,0,5
MSTRG.93|TMEM52,305,178,36,80,80,57
ENSG00000226969.1|PRKCZ-DT,0,0,0,5,0,0
ENSG00000187730.9|GABRD,19,19,1,0,0,2
ENSG00000142609.20|CFAP74,13,4,31,52,0,20
MSTRG.99|PRKCZ,1897,1698,934,1480,799,1528
MSTRG.99,0,0,0,0,25,0
MSTRG.103|FAAP20,2468,2308,1537,1623,1817,3239
MSTRG.105,0,1,6,0,4,25
MSTRG.106|ENSG00000234396,0,0,1,2,0,0
MSTRG.100,6,2,21,0,16,4
MSTRG.101|ENSG00000271806,28,4,93,22,35,32
MSTRG.102|PRKCZ-AS1,170,65,187,98,67,226
MSTRG.104,107,27,126,93,38,137
MSTRG.137,0,40,51,156,48,114
MSTRG.137|MMP23B,21,37,55,126,15,143
MSTRG.138|CDK11B,28,225,152,171,83,187
MSTRG.138,11619,11195,8407,12891,6437,14481
MSTRG.139|ENSG00000272004,0,0,0,0,0,0
MSTRG.141,0,12,20,4,0,49
MSTRG.138|ENSG00000268575,0,0,0,0,0,0
MSTRG.138|CDK11A,241,99,110,90,70,136
MSTRG.138|ENSG00000290854,52,90,53,81,60,78
MSTRG.92|NADK,518,1589,1284,2014,1572,2176
MSTRG.94|GNB1,22106,24677,7705,12663,15972,16234
MSTRG.95|GNB1-DT,5,18,55,41,33,52
MSTRG.138|SLC35E2B,693,3417,1145,1305,1819,1726
MSTRG.140|ENSG00000269737,155,167,274,339,252,425
MSTRG.141|MMP23A,9,48,59,212,46,132
MSTRG.142|ENSG00000227775,63,75,96,64,48,133
MSTRG.138|SLC35E2A,14,2,15,2,2,2
MSTRG.92,2368,1367,12,0,0,63
MSTRG.96|SKI,2125,2928,1305,2627,1958,3426
MSTRG.96,7643,3186,1191,2599,1999,2966
MSTRG.97,7,0,29,0,27,6
MSTRG.98,6,9,28,10,9,0
ENSG00000149527.18|PLCH2,18,20,167,75,8,108
ENSG00000224387.1|ENSG00000224387,0,0,0,0,0,0
ENSG00000229393.1|ENSG00000229393,0,0,5,5,0,0
MSTRG.107|HES5,6,0,6,47,0,0
MSTRG.108|ENSG00000272449,43,56,5,11,52,46
ENSG00000228037.1|ENSG00000228037,9,5,25,6,20,24
ENSG00000238164.6|TNFRSF14-AS1,7,0,0,0,7,7
ENSG00000157873.18|TNFRSF14,0,0,21,13,46,4
MSTRG.110|ENSG00000289610,13,12,8,9,8,40
MSTRG.109|PANK4,713,821,731,1022,281,788
MSTRG.109,11,0,107,0,172,242
MSTRG.111|ENSG00000287356,104,226,168,169,144,319
MSTRG.112|MORN1,152,87,271,160,190,260
MSTRG.117|RER1,2305,2310,1575,2238,1711,2590
MSTRG.118|PEX10,1362,1052,428,819,957,1171
MSTRG.113|ENSG00000272161,1,7,7,2,0,1
MSTRG.114|ENSG00000269896,28,56,91,127,132,99
MSTRG.112,410,662,795,705,806,1460
MSTRG.115|ENSG00000272420,13,15,26,31,44,36
MSTRG.116,18,33,46,31,106,80
MSTRG.117,1185,460,540,390,661,793
MSTRG.119|TTC34,82,69,300,249,169,440
MSTRG.120|ENSG00000285945,0,0,0,0,0,0
MSTRG.121|ENSG00000283259,0,0,0,0,0,0
MSTRG.122|PRXL2B,3261,2110,894,1915,1071,1577
MSTRG.123|MMEL1,8,0,0,48,0,0
MSTRG.124|MMEL1-AS1,0,14,6,31,5,8
MSTRG.125,463,101,199,134,628,664
MSTRG.125|ARHGEF16,573,440,255,429,836,750
ENSG00000238260.3|ENSG00000238260,4,10,28,20,47,57
MSTRG.126,0,0,1632,620,0,0
MSTRG.126|PRDM16-DT,0,0,100,97,0,2
MSTRG.127|PRDM16,2,1,1396,465,1,8
MSTRG.128|MIR4251,0,0,2,0,0,0
MSTRG.129|ENSG00000226286,0,0,16,0,0,0
MSTRG.130|ENSG00000279839,0,0,85,3,0,0
MSTRG.131|ENSG00000272235,0,0,163,18,0,4
MSTRG.132|ENSG00000287828,0,0,57,24,2,3
MSTRG.133|ENSG00000286518,0,0,48,2,0,0
MSTRG.127,47,40,85,1044,131,254
MSTRG.134|TPRG1L,1243,584,625,1118,1206,1415
MSTRG.143,458,850,1593,2170,1784,1955
MSTRG.143|MEGF6,97,40,99,210,90,92
MSTRG.145|MIR551A,0,0,1,0,0,0
MSTRG.144|ENSG00000272088,6,0,7,3,1,1
ENSG00000284703.1|ENSG00000284703,0,4,0,0,0,0
ENSG00000235054.4|LINC01777,0,0,0,0,0,0
MSTRG.168,23,44,1,0,2,20
MSTRG.167,67,170,0,1,1,10
MSTRG.166,22,51,0,0,1,3
ENSG00000289893.1|ENSG00000289893,0,0,0,0,0,0
MSTRG.159,0,0,0,0,14,0
MSTRG.158|AJAP1,584,220,39,64,590,122
MSTRG.161|ENSG00000287586,12,0,2,12,22,0
MSTRG.160,2,0,0,4,21,0
MSTRG.151|WRAP73,763,830,535,516,457,813
MSTRG.152|TP73,66,144,88,75,35,107
MSTRG.153|TP73-AS3,0,0,0,0,0,0
MSTRG.154|TP73-AS2,0,0,5,8,0,10
MSTRG.155|TP73-AS1,1292,688,800,884,1559,1328
MSTRG.155,2975,3748,1071,1921,626,3418
MSTRG.157|CCDC27,10,0,0,4,15,2
MSTRG.152,157,109,0,251,0,157
MSTRG.156|ENSG00000276189,1,1,0,0,1,1
MSTRG.157,113,413,190,593,132,600
MSTRG.147|SMIM1,51,89,82,199,42,96
MSTRG.146,24,9,79,72,4,32
MSTRG.148,3081,621,256,1324,423,5
MSTRG.148|LRRC47,2306,7132,1482,1609,1503,3386
MSTRG.149|RN7SL574P,6,7,22,8,17,14
MSTRG.150|ENSG00000272153,31,32,66,59,45,78
MSTRG.164|CEP104,1473,1573,1162,1474,1126,1605
MSTRG.165|DFFB,674,474,255,263,152,306
MSTRG.162|C1orf174,1588,1182,811,903,1042,1479
MSTRG.163|LINC01134,16,14,56,24,23,43
MSTRG.174,750,620,85,569,24,86
MSTRG.174|NPHP4,165,120,931,320,820,1022
MSTRG.175|KCNAB2,245,312,213,510,120,529
MSTRG.176|CHD5,47,48,18,35,21,19
MSTRG.176|ENSG00000285629,0,0,0,0,0,0
MSTRG.176|RPL22,14208,17998,3792,10522,6825,17375
MSTRG.179|RNF207,66,118,3545,1374,44,137
MSTRG.180|ICMT,13914,9076,2072,2922,3519,5011
MSTRG.181,0,147,0,0,13,0
MSTRG.169,335,130,2,0,0,14
MSTRG.171|ACOT7,4840,5124,432,447,719,1122
MSTRG.195|HES2,18,15,0,240,18,32
MSTRG.177,272,140,145,96,202,383
MSTRG.176,361,280,3,711,0,0
MSTRG.178|RNF207-AS1,9,9,13,14,0,0
MSTRG.179,23,11,687,221,0,55
MSTRG.180,71,0,0,24,42,0
MSTRG.181|ICMT-DT,155,69,13,5,56,175
MSTRG.169|HES3,751,382,0,0,0,0
MSTRG.170,603,425,229,1048,164,369
MSTRG.170|GPR153,607,637,258,378,186,219
MSTRG.172|ENSG00000271746,13,25,5,10,6,28
MSTRG.193|VAMP3,2248,2343,1920,3315,1667,3064
MSTRG.194|ENSG00000269925,48,24,38,38,49,63
MSTRG.200,11,2,0,371,0,34
MSTRG.200|PER3,403,549,163,219,113,255
MSTRG.201|ENSG00000236266,0,3,0,0,0,4
MSTRG.202|UTS2,0,7,0,2,0,29
MSTRG.203|PARK7,8466,7950,2291,4385,3755,8913
MSTRG.204|Y_RNA,3,6,7,0,3,13
ENSG00000238290.1|ERRFI1-DT,0,15,0,23,0,8
ENSG00000232848.1|RPL7AP18,0,0,0,0,0,0
MSTRG.218|ERRFI1,2013,2533,408,568,447,740
MSTRG.216|ENSG00000284747,43,15,20,32,8,31
MSTRG.217|ENSG00000284716,7,0,0,0,0,2
MSTRG.218,1279,2787,456,951,442,1558
MSTRG.196|ESPN,439,961,187,340,67,251
MSTRG.197|MIR4252,0,0,0,0,0,0
MSTRG.196,282,327,29,99,52,17
MSTRG.199|TNFRSF25,125,93,136,98,51,359
MSTRG.199,472,215,1550,1178,1007,1351
MSTRG.199|PLEKHG5,453,822,418,530,50,619
MSTRG.183|RNU6-731P,0,1,1,1,0,2
MSTRG.182|NOL9,5014,4062,1574,2075,1607,2565
ENSG00000173662.21|TAS1R1,0,19,13,4,5,23
MSTRG.185|ZBTB48,246,392,179,328,224,344
MSTRG.185,685,623,1088,789,830,1160
MSTRG.186|KLHL21,2077,1109,2090,2793,681,1088
MSTRG.189,26,20,339,655,61,90
MSTRG.189|PHF13,3071,2093,923,1806,1381,2903
MSTRG.191|THAP3,435,581,235,413,186,378
MSTRG.192|DNAJC11,5101,4215,2104,1965,2300,2906
ENSG00000228750.7|LINC01672,0,0,0,0,0,0
ENSG00000284744.1|ENSG00000284744,0,0,0,0,0,0
MSTRG.190|CAMTA1-DT,0,0,0,0,0,0
MSTRG.205|CAMTA1,2197,2457,1149,1663,1548,2097
MSTRG.206|ENSG00000227950,0,1,2,2,5,0
MSTRG.207,0,0,2,0,16,0
MSTRG.208|CAMTA1-AS3,0,0,0,0,0,0
MSTRG.209|RNU1-8P,0,0,0,0,0,0
MSTRG.210|CAMTA1-IT1,0,2,2,2,0,0
MSTRG.211|CAMTA1-AS2,0,0,7,0,0,0
MSTRG.212|CAMTA1-AS1,0,0,0,0,2,0
MSTRG.198|ENSG00000231868,1,1,8,0,0,3
MSTRG.182,210,138,344,150,563,403
MSTRG.184|ENSG00000229519,17,12,57,26,14,27
MSTRG.187,12,6,25,20,20,6
MSTRG.188,18,16,380,327,143,116
MSTRG.191,13,10,77,19,29,90
MSTRG.190,78,67,32,25,33,60
MSTRG.205,182,0,0,0,0,657
MSTRG.213|ENSG00000270171,2,6,8,9,1,61
MSTRG.214|ENSG00000270035,2,5,1,0,18,21
MSTRG.215|ENSG00000269978,9,2,3,1,6,40
ENSG00000197241.4|SLC2A7,0,0,0,0,0,0
ENSG00000142583.18|SLC2A5,8,14,6,0,0,0
ENSG00000252404.1|ENSG00000252404,0,0,0,0,0,0
MSTRG.219|GPR157,16,226,359,1062,205,205
MSTRG.219,456,199,222,170,0,425
MSTRG.220,3,0,36,8,0,6
ENSG00000284652.1|ENSG00000284652,2,0,0,1,0,3
ENSG00000284693.2|LINC02606,5,8,4,29,9,3
ENSG00000252956.1|RNA5SP40,0,0,0,0,0,0
MSTRG.245|SPSB1,272,190,195,491,498,433
MSTRG.230|LNCTAM34A,15,83,55,49,16,66
MSTRG.224|MIR34AHG,439,780,781,530,63,695
MSTRG.231|H6PD,456,2695,1371,3305,1163,2201
MSTRG.224|MIR34A,1,1,1,1,1,1
MSTRG.225,10,4,4,16,9,4
MSTRG.226|ENSG00000289914,51,30,40,10,6,32
MSTRG.227,10,14,25,31,9,15
MSTRG.228,22,12,27,13,2,36
MSTRG.229,12,18,40,9,4,34
