gene_id,CM_D0_R1,CM_D0_R2,CM_D18_R1,CM_D18_R2,CM_D3_R1,CM_D3_R2
MSTRG.13418|TPM1,6253,6644,49009,38696,4320,6332
MSTRG.13419|TPM1-AS,27,69,1361,284,41,172
MSTRG.13420|ENSG00000259627,0,0,0,0,0,0
MSTRG.13418,158,239,188,2324,147,84
MSTRG.13414,0,0,0,70,209,0
MSTRG.13415|RPS27L,1674,1960,1176,1747,1074,1886
MSTRG.13414|LACTB,387,485,256,458,520,472
MSTRG.13416|RAB8B,3338,4076,657,1659,986,2562
MSTRG.13417|APH1B,1541,3523,498,1689,500,1369
MSTRG.13417,119,644,79,77,107,154
ENSG00000074410.14|CA12,161,152,28,87,0,415
ENSG00000276651.1|ENSG00000276651,9,4,12,4,2,14
MSTRG.13424|DAPK2,79,48,49,28,116,72
MSTRG.13424,0,0,0,0,4,0
MSTRG.13425|ENSG00000259351,0,0,0,0,10,0
MSTRG.13426,0,0,0,0,18,0
MSTRG.13427,4,2,0,4,44,2
MSTRG.13421|USP3,3275,2973,1453,2037,1110,2399
MSTRG.13422|USP3-AS1,51,50,171,70,55,30
MSTRG.13423|FBXL22,99,63,289,145,30,30
MSTRG.13428|HERC1,1918,946,1739,2385,2207,1492
MSTRG.13428,28,1347,2250,1998,83,454
MSTRG.13429,285,209,245,349,131,89
MSTRG.13430|ENSG00000259589,1,0,6,0,0,0
MSTRG.13431|CIAO2A,2649,2322,811,1400,1079,2144
MSTRG.13436,2,1,3,18,2,2
MSTRG.13437,4,0,13,0,30,5
MSTRG.13432|SNX1,2794,3464,2800,4243,2109,4113
MSTRG.13434|SNX22,870,1537,363,260,262,443
MSTRG.13435|PPIB,11502,9706,3975,7651,5945,11037
MSTRG.13443|CSNK1G1,1618,1581,993,1721,1092,1417
MSTRG.13443|ENSG00000259316,9,29,35,13,23,25
MSTRG.13444|ENSG00000252774,0,0,1,0,2,2
MSTRG.13443|PCLAF,3200,2390,291,537,792,2435
MSTRG.13447|TRIP4,554,707,343,426,572,721
MSTRG.13448|Y_RNA,0,1,0,0,11,0
MSTRG.13450|ZNF609,7200,5747,2426,5127,5129,6163
MSTRG.13456|RNU6-549P,0,0,4,0,0,2
MSTRG.13457|OAZ2,11868,9723,3033,5210,2717,6856
MSTRG.13458|ENSG00000265967,0,0,0,0,0,0
MSTRG.13433|Y_RNA,2,1,14,1,2,0
MSTRG.13445,510,229,195,136,375,362
MSTRG.13446,31,8,10,5,41,16
MSTRG.13447,43,80,165,205,0,33
MSTRG.13450,245,663,1177,1280,760,1787
MSTRG.13451|ENSG00000259682,13,0,42,5,56,8
MSTRG.13452|GAPDHP61,7,4,64,8,24,19
MSTRG.13453|ENSG00000243403,8,7,5,5,13,7
MSTRG.13454|RPL21P15,4,2,21,2,3,0
MSTRG.13455|Y_RNA,5,0,2,0,0,0
MSTRG.13457,224,115,87,55,88,118
MSTRG.13459|ENSG00000264937,49,35,46,9,37,49
MSTRG.13460|ENSG00000259635,76,51,96,33,63,65
MSTRG.13461,275,179,321,235,132,325
MSTRG.13438|RBPMS2,8640,7317,2276,2297,2756,3474
MSTRG.13439|MIR1272,3,0,10,0,6,6
MSTRG.13463|MTFMT,1023,1163,456,733,575,640
MSTRG.13464|ENSG00000270218,6,4,37,9,19,26
MSTRG.13469|KBTBD13,2,0,37,156,10,4
MSTRG.13466|SLC51B,0,8,12,22,13,18
MSTRG.13468|RASL12,481,368,309,887,1155,930
MSTRG.13465,6,6,4,82,35,9
MSTRG.13467|ENSG00000277351,4,2,6,18,18,13
ENSG00000278737.1|ENSG00000278737,4,0,5,18,0,0
MSTRG.13449|PIF1,983,1435,188,52,481,1018
MSTRG.13449,843,953,315,313,688,1164
MSTRG.13470|PLEKHO2,1359,1315,415,755,616,804
MSTRG.13470|ENSG00000249240,0,0,3,0,9,9
MSTRG.13471|ENSG00000287494,0,0,0,0,0,0
MSTRG.13470|ANKDD1A,280,371,149,201,83,585
MSTRG.13470,66,80,65,99,1387,932
MSTRG.13472|ENSG00000275332,0,0,2,0,11,1
MSTRG.13462|SPG21,3595,4125,1837,3804,2297,3997
MSTRG.13440,26,21,10,27,0,17
MSTRG.13441,32,14,15,19,15,19
MSTRG.13442,20,12,12,10,36,7
MSTRG.13473|ENSG00000274383,14,2,40,30,31,10
MSTRG.13474,50,30,83,124,118,176
MSTRG.13475,38,22,112,93,159,84
ENSG00000246922.10|UBAP1L,80,84,440,251,173,222
ENSG00000259258.1|ENSG00000259258,0,0,6,0,8,2
MSTRG.13476,1,4,5,4,17,8
MSTRG.13477|PDCD7,1486,1769,765,1384,600,1304
ENSG00000279268.1|ENSG00000279268,1,0,0,1,0,1
ENSG00000138615.6|CILP,0,1,5,0,0,0
MSTRG.13478|CLPX,3359,4865,1442,3155,1670,3310
MSTRG.13480|PARP16,251,569,276,592,198,331
MSTRG.13481|SNORA24B,0,2,2,0,1,5
MSTRG.13482|RNU5A-1,6,11,5,7,25,9
ENSG00000259346.2|ENSG00000259346,2,0,0,0,0,0
MSTRG.13479|RNU5B-1,4,12,2,4,6,3
MSTRG.13483|IGDCC3,1597,1878,2618,7977,364,925
MSTRG.13484,1332,999,670,1045,1059,1125
MSTRG.13484|IGDCC4,314,362,535,1737,277,753
MSTRG.13483,1925,2397,4013,3425,140,830
MSTRG.13485,576,428,227,74,886,615
MSTRG.13488|DPP8,2193,2435,1760,1900,1890,2810
MSTRG.13489|ENSG00000270690,0,3,5,0,0,0
MSTRG.13491|Y_RNA,0,0,5,0,6,7
MSTRG.13486|HACD3,9564,10078,3084,5367,3431,7058
MSTRG.13506|INTS14,1372,337,756,1165,515,782
MSTRG.13506,13,1050,15,22,257,333
MSTRG.13507,415,865,218,498,362,232
MSTRG.13507|SLC24A1,14,110,14,75,26,241
MSTRG.13508|ENSG00000275638,0,0,0,0,0,0
MSTRG.13509|DENND4A,199,357,366,782,385,450
MSTRG.13509,10,3,216,107,21,0
MSTRG.13510|SNORD13E,0,0,0,0,0,0
MSTRG.13511|MIR4511,0,0,1,0,0,0
MSTRG.13512|RAB11A,8057,8883,2847,6154,2272,7280
MSTRG.13513|ENSG00000261544,0,0,8,0,7,0
MSTRG.13517|U6,0,0,0,0,0,0
ENSG00000157890.19|MEGF11,126,120,183,84,48,100
ENSG00000263512.1|MIR4311,0,0,0,0,0,0
MSTRG.13490|ENSG00000259232,5,4,17,0,4,12
MSTRG.13487|RNU6-19P,2,0,0,0,3,0
MSTRG.13514|ENSG00000259924,11,28,30,13,12,16
MSTRG.13515|ENSG00000289992,1,0,0,1,0,1
MSTRG.13516|HNRNPA1P44,2,3,1,1,0,5
MSTRG.13492,4,2,21,13,17,6
MSTRG.13523|SMAD6,59,239,3395,833,2227,1564
MSTRG.13523,462,415,6721,3181,11114,8986
MSTRG.13524|ENSG00000274995,8,0,135,2,138,21
MSTRG.13521,2,5,178,36,62,54
MSTRG.13528|ENSG00000259347,11,41,12,23,0,17
MSTRG.13529|SMAD3,1141,1694,2168,2683,104,867
MSTRG.13531|ENSG00000259202,0,0,16,0,0,0
MSTRG.13528|HMGN2P47,1,0,1,0,1,0
MSTRG.13529,249,404,2279,2101,288,324
MSTRG.13530,22,10,305,13,22,10
MSTRG.13532|AAGAB,2847,2901,1009,1586,1669,1104
MSTRG.13534|IQCH,38,180,179,261,50,120
MSTRG.13535|IQCH-AS1,36,82,222,256,36,45
MSTRG.13536,0,15,0,21,1,0
MSTRG.13539,0,2,2,21,0,0
MSTRG.13540,0,0,3,0,19,0
MSTRG.13535,2,6,13,3,11,3
MSTRG.13541|C15orf61,106,146,152,406,53,88
MSTRG.13532,149,237,87,80,118,1039
MSTRG.13533|RPS24P16,1,5,14,1,2,12
MSTRG.13537,14,27,4,14,0,42
MSTRG.13538,1,0,1,22,4,1
MSTRG.13543|MAP2K5,596,1218,414,935,282,924
MSTRG.13542|MAP2K5-DT,54,67,72,104,39,55
MSTRG.13544|HNRNPA1P5,8,0,12,0,0,2
MSTRG.13545|SKOR1,0,5,43,35,18,15
MSTRG.13545|ENSG00000259410,0,0,0,0,0,0
MSTRG.13546|SKOR1-AS1,0,20,0,0,0,8
MSTRG.13547|RNU6-1,15,17,12,39,10,17
MSTRG.13493|DIS3L-AS1,0,6,11,0,0,0
MSTRG.13494|DIS3L,1735,2605,942,588,1309,1336
MSTRG.13496,704,1120,194,206,243,507
MSTRG.13496|TIPIN,363,260,15,66,99,109
MSTRG.13499,0,0,16,0,0,0
MSTRG.13501|MAP2K1,3795,5699,1102,2208,3546,6552
MSTRG.13504|SNAPC5,461,731,425,581,459,742
MSTRG.13505|MIR4512,0,2,4,0,3,3
MSTRG.13518|RPL4,67105,80929,18019,44031,26385,65922
MSTRG.13519|ZWILCH,4760,4175,581,804,1216,2383
MSTRG.13520|LCTL,129,81,20,8,17,53
MSTRG.13494,1345,597,586,1716,272,471
MSTRG.13495|ENSG00000260773,8,14,16,0,15,20
MSTRG.13497|SCARNA14,3,1,0,0,4,1
MSTRG.13498|Y_RNA,2,0,0,0,1,0
MSTRG.13496|RPL9P25,13,29,4,34,16,26
MSTRG.13500,1,6,12,8,10,24
MSTRG.13502|ATP5MFP6,1,0,6,0,3,5
MSTRG.13503|RPL35AP32,4,3,13,0,24,17
MSTRG.13501,6,0,10,9,1084,578
MSTRG.13504|ENSG00000261351,61,55,82,58,100,68
MSTRG.13518|SNORD18C,0,0,1,1,1,1
MSTRG.13518|ENSG00000280554,1,1,1,1,1,1
MSTRG.13518|SNORD18B,1,1,1,1,1,1
MSTRG.13518|SNORD16,1,0,1,1,1,1
MSTRG.13518|SNORD18A,1,1,1,1,1,1
MSTRG.13561|PIAS1,2451,2276,1957,3026,1212,1998
MSTRG.13562|CALML4,424,130,38,147,38,102
MSTRG.13562|ENSG00000260007,113,332,305,115,111,304
MSTRG.13562|CLN6,3678,1847,827,682,1436,1580
MSTRG.13563,0,0,1,0,14,6
MSTRG.13561,387,191,292,174,123,252
MSTRG.13564|HMGN2P40,1,0,1,10,1,4
ENSG00000137809.17|ITGA11,12,28,123,66,54,70
MSTRG.13548|ENSG00000260657,0,0,3,0,0,14
MSTRG.13549|FEM1B,8759,11071,2918,5829,3237,5846
ENSG00000212766.9|EWSAT1,83,70,2,21,5,4
ENSG00000259222.2|ENSG00000259222,0,0,0,0,0,0
MSTRG.13550|CORO2B,326,409,86,126,134,568
ENSG00000271232.1|CARS1P1,0,0,0,0,0,0
ENSG00000289998.1|ENSG00000289998,0,0,0,0,0,0
MSTRG.13552|ANP32A,10738,9468,3486,6514,4972,7335
MSTRG.13554|SPESP1,0,0,18,2,0,4
MSTRG.13556|ENSG00000259286,0,0,10,0,0,0
MSTRG.13557|ENSG00000285919,0,0,0,0,1,0
MSTRG.13554|NOX5,0,0,0,3,5,0
MSTRG.13558|ENSG00000288068,0,0,0,0,0,0
MSTRG.13559|ENSG00000273851,0,0,0,0,0,0
MSTRG.13560|ENSG00000259265,0,0,0,0,0,0
MSTRG.13553|MIR4312,1,1,6,1,6,2
MSTRG.13555,83,148,467,294,205,282
MSTRG.13551,488,259,277,210,305,268
MSTRG.13551|GLCE,1956,1040,577,1136,1064,753
MSTRG.13568|ENSG00000259504,0,0,0,0,5,0
MSTRG.13571|KIF23-AS1,41,19,71,38,94,40
MSTRG.13572|KIF23,3155,3957,1005,672,1639,2332
MSTRG.13572,6,4,197,458,4,118
MSTRG.13565|RPLP1,29045,36570,6602,15802,17027,37380
MSTRG.13566,0,2,34,2,30,15
ENSG00000207119.2|U3,0,0,3,2,2,6
ENSG00000259215.1|LINC02896,0,0,10,0,0,0
ENSG00000245750.11|DRAIC,16,17,31,56,16,5
ENSG00000259457.1|ENSG00000259457,0,0,0,0,0,0
ENSG00000289525.2|ENSG00000289525,0,0,0,0,0,0
ENSG00000259496.2|GEMIN8P1,0,0,0,0,0,0
ENSG00000259309.2|ENSG00000259309,0,0,0,0,0,0
MSTRG.13567|PAQR5-DT,45,24,9,6,47,19
MSTRG.13569|PAQR5,732,782,8,187,1551,144
MSTRG.13569,720,606,111,46,30,0
MSTRG.13570|ENSG00000259645,9,0,0,0,14,0
MSTRG.13569|Y_RNA,2,3,20,6,4,30
MSTRG.13573|ENSG00000259191,9,11,21,4,10,3
MSTRG.13574|TLE3,2378,2654,1144,1776,3337,6206
MSTRG.13575|MIR629,0,0,0,0,1,0
MSTRG.13574,949,714,336,975,0,1991
MSTRG.13579|SALRNA2,3,0,18,6,0,0
ENSG00000242276.2|RPL5P3,2,1,19,1,5,1
MSTRG.13580|UACA,1064,1584,1369,3213,831,1213
MSTRG.13581|ENSG00000259532,0,0,59,7,3,0
ENSG00000259624.1|ENSG00000259624,0,0,0,0,0,0
ENSG00000259452.2|ENSG00000259452,0,0,0,0,0,0
ENSG00000235420.7|RPL29P30,2,0,0,0,0,0
MSTRG.13584|ENSG00000259744,0,11,11,0,9,15
MSTRG.13583|LARP6,875,1594,491,945,515,963
MSTRG.13585|LRRC49,519,622,539,637,255,502
MSTRG.13587|THAP10,278,319,130,173,132,127
MSTRG.13580,144,402,1810,781,245,442
MSTRG.13582|ENSG00000274297,2,4,82,8,2,4
MSTRG.13586|KRT8P9,1,1,5,0,4,6
ENSG00000278313.1|ENSG00000278313,0,0,0,0,0,0
MSTRG.13611|TMEM202,0,0,0,0,0,0
MSTRG.13612|TMEM202-AS1,67,79,102,130,66,118
MSTRG.13613|PHB1P20,0,1,2,0,0,0
MSTRG.13615|ARIH1,6031,7952,4385,5505,2570,4249
MSTRG.13616,0,0,9,0,17,0
MSTRG.13614|ENSG00000261187,13,23,25,52,24,34
MSTRG.13615|MIR630,1,1,16,11,2,1
MSTRG.13615|ENSG00000260534,1,1,12,1,1,1
MSTRG.13617,2,2,22,0,22,1
MSTRG.13618|ENSG00000260144,0,11,23,0,8,4
MSTRG.13619|LINC02259,3,4,0,4,0,1
MSTRG.13621,0,0,30,0,0,0
MSTRG.13624|GOLGA6B,34,38,25,23,7,16
MSTRG.13624|RN7SL853P,0,0,0,0,0,0
MSTRG.13624,0,286,0,1,0,31
MSTRG.13625|HIGD2B,0,2,0,4,3,2
MSTRG.13626|ENSG00000261281,0,0,0,0,0,0
MSTRG.13627|BBS4,1262,2160,490,1043,550,1379
MSTRG.13620,6,9,10,5,7,26
MSTRG.13622|ENSG00000260672,1,5,40,0,16,4
MSTRG.13623|ENSG00000259909,3,6,5,4,2,17
MSTRG.13627,86,79,146,65,181,108
MSTRG.13591|THSD4,353,534,256,631,158,448
MSTRG.13592|CT62,0,13,0,0,0,4
MSTRG.13593,0,0,0,19,0,0
MSTRG.13594|THSD4-AS1,3,2,4,2,0,3
MSTRG.13596|ENSG00000260586,2,0,5,0,2,5
MSTRG.13598|ENSG00000278408,0,0,8,0,3,0
MSTRG.13599|NR2E3,9,11,8,0,0,14
MSTRG.13600|ENSG00000260037,2,0,0,0,5,0
MSTRG.13601|MYO9A,411,129,1224,94,105,150
MSTRG.13601,888,1555,448,1937,1179,1484
MSTRG.13602|RNA5SP399,0,0,2,0,0,0
MSTRG.13603|ENSG00000261632,0,2,9,0,8,0
MSTRG.13605|RNU2-65P,0,0,7,0,0,0
MSTRG.13608|SENP8,233,411,244,305,200,249
MSTRG.13609|RPL21P115,0,7,0,3,1,4
MSTRG.13610|ENSG00000260173,0,0,0,0,0,0
MSTRG.13588|GRAMD2A,103,230,19,67,33,43
MSTRG.13589,0,0,14,0,0,0
MSTRG.13590,0,6322,8376,88,124,12007
MSTRG.13590|PKM,19661,41498,6982,34029,34121,62078
MSTRG.13643|PARP6,124,209,690,573,425,434
MSTRG.13643,1355,907,1829,1089,2011,2086
MSTRG.13643|ENSG00000273025,0,0,0,0,0,0
MSTRG.13643|CELF6,0,0,4,0,0,5
MSTRG.13643|ENSG00000260729,0,0,154,61,0,32
MSTRG.13643|HEXA,646,1871,1590,2121,1182,2213
MSTRG.13595|HMGB1P6,1166,1124,224,488,334,675
MSTRG.13597|RPL17P39,1242,1306,255,886,582,1488
MSTRG.13604|EIF5A2P1,2,2,15,9,0,0
MSTRG.13606,178,187,24,55,20,55
MSTRG.13607,120,132,19,32,36,93
MSTRG.13644|ENSG00000261460,13,8,32,16,24,36
MSTRG.13645|HEXA-AS1,22,7,36,38,34,62
ENSG00000243007.1|RPL12P35,6,18,5,10,2,8
MSTRG.13628|ADPGK,1347,1243,636,816,1670,2129
MSTRG.13628,1543,1152,1164,1052,3542,3164
MSTRG.13629|ADPGK-AS1,17,24,82,10,114,80
MSTRG.13632|NEO1,43,31,76,2108,40,55
MSTRG.13633|FKBP1AP2,0,0,5,0,10,0
MSTRG.13632,4230,5671,3289,5050,4010,5722
MSTRG.13634|NPM1P43,3,0,15,4,8,0
MSTRG.13635|ENSG00000259528,8,4,37,0,11,8
MSTRG.13631|ENSG00000259650,6,0,48,0,0,0
MSTRG.13630|HCN4,1307,2355,5463,3908,166,496
MSTRG.13636|REC114,0,0,21,22,0,0
MSTRG.13637|MRPS15P1,0,0,2,0,0,0
MSTRG.13638|NPTN,4121,3499,4029,5515,2004,3757
MSTRG.13639|NPTN-IT1,177,176,1242,479,229,387
MSTRG.13648|CD276,6257,4827,1965,3566,1553,3455
MSTRG.13648,2299,2566,914,2263,611,1320
MSTRG.13641|INSYN1,335,206,79,125,10,18
MSTRG.13642|INSYN1-AS1,127,107,6,11,0,14
MSTRG.13646|LOXL1-AS1,448,410,256,439,91,238
MSTRG.13647|LOXL1,486,650,799,1399,249,188
MSTRG.13646,20,24,12,42,3,16
MSTRG.13653|RN7SL429P,0,1,0,0,0,0
MSTRG.13653|GOLGA6A,8,61,1,0,2,1
MSTRG.13653,31,319,15,12,0,13
MSTRG.13649|STOML1,78,106,198,200,20,211
MSTRG.13649,0,55,0,35,91,5
MSTRG.13650,169,670,70,841,0,5
MSTRG.13650|PML,1532,1265,702,463,548,1285
MSTRG.13651,6,4,11,14,11,29
MSTRG.13652|ENSG00000287543,17,8,54,13,10,53
MSTRG.13654|COMMD4P2,0,8,4,0,0,14
MSTRG.13655|ISLR2,57,1002,6,29,29,111
MSTRG.13656|ENSG00000248540,12,338,0,4,19,60
MSTRG.13655,0,117,0,0,0,0
MSTRG.13657|ENSG00000261543,0,0,0,0,0,0
MSTRG.13658|Metazoa_SRP,0,0,0,0,0,0
MSTRG.13659,0,0,0,14,0,0
MSTRG.13660|ISLR,14,31,65,107,0,27
MSTRG.13661|CYP11A1,83,228,54,248,37,292
MSTRG.13662|PPIAP46,22,20,52,37,183,768
MSTRG.13662,0,0,0,0,0,365
MSTRG.13663|ENSG00000261821,29,93,69,102,34,121
ENSG00000274937.1|ENSG00000274937,1,7,4,0,0,2
MSTRG.13666|STRA6,647,938,1475,2960,117,623
MSTRG.13667,0,25,29,80,0,0
MSTRG.13667|CCDC33,69,197,178,252,8,128
MSTRG.13667|ENSG00000280309,0,8,4,12,0,0
MSTRG.13667|ENSG00000261384,0,0,0,0,0,0
MSTRG.13668|ENSG00000277749,6,19,0,0,0,0
MSTRG.13664|SEMA7A,905,376,255,731,78,331
MSTRG.13664|MIR6881,0,0,1,0,0,0
MSTRG.13665|ENSG00000286696,25,12,30,18,8,13
MSTRG.13685|CYP1A1,7,8,250,726,0,0
MSTRG.13684,68,11,9,15,113,16
MSTRG.13686|CSK,2455,2251,478,608,1214,1596
MSTRG.13686,404,122,1350,1713,545,179
MSTRG.13687|MIR4513,0,2,5,2,1,2
MSTRG.13670|UBL7,1849,1761,770,1149,607,1263
MSTRG.13671|UBL7-DT,368,666,121,215,240,539
MSTRG.13672,0,2,4,0,2,25
MSTRG.13673|ENSG00000260103,48,16,63,21,30,90
MSTRG.13676|ENSG00000212279,0,0,0,0,0,0
MSTRG.13683,0,3,2,0,19,9
MSTRG.13669|ARID3B,11192,10723,2589,4728,3381,7739
MSTRG.13669,0,0,0,0,15,0
MSTRG.13690|ENSG00000275527,0,0,0,0,0,0
MSTRG.13689,347,823,796,787,417,972
MSTRG.13689|CLK3,1346,1038,1764,1480,1357,1978
MSTRG.13691,0,0,1,0,18,1
MSTRG.13692,0,2,9,2,16,0
MSTRG.13693,0,1,11,19,2,4
MSTRG.13695|EDC3,2565,2719,1446,2265,1545,1992
MSTRG.13670,52,45,0,391,73,71
MSTRG.13671,14,4,5,3,48,28
MSTRG.13674,25,23,22,0,12,42
MSTRG.13675|ENSG00000261775,15,4,1,6,3,15
MSTRG.13675,25,22,18,16,36,10
MSTRG.13677,16,8,12,10,5,35
MSTRG.13678,4,7,8,1,18,3
MSTRG.13679,1,4,4,0,4,19
MSTRG.13680,13,12,11,7,31,14
MSTRG.13681,4,3,9,4,6,37
MSTRG.13682,23,37,14,14,31,27
MSTRG.13694|ENSG00000260919,2,0,15,9,10,5
ENSG00000140506.17|LMAN1L,0,0,0,0,0,0
ENSG00000261606.5|ENSG00000261606,0,4,0,0,0,0
ENSG00000213578.6|CPLX3,6,0,0,0,0,0
MSTRG.13696|ULK3,1019,1162,948,988,650,977
MSTRG.13688|SCAMP2,1699,1531,800,1243,1038,1358
MSTRG.13710|MPI,1785,2813,2223,2835,1582,4505
MSTRG.13711|FAM219B,1329,974,1536,1703,1341,2207
MSTRG.13697|MIR6882,1,0,8,1,1,0
MSTRG.13710,227,173,86,159,35,200
MSTRG.13699|COX5A,5766,5347,2271,3203,1458,2772
MSTRG.13701|SCAMP5,4512,2688,773,1128,711,1149
MSTRG.13703|Y_RNA,0,0,0,0,0,0
ENSG00000260483.2|ENSG00000260483,0,0,0,0,0,0
MSTRG.13707|ENSG00000260152,0,0,0,0,0,0
MSTRG.13698|RPP25,1267,1139,276,434,71,300
MSTRG.13702|ENSG00000261813,3,0,0,1,0,2
MSTRG.13704|PPCDC,594,992,285,283,447,390
MSTRG.13705,4,3,8,16,3,2
MSTRG.13706,3,0,10,1,2,23
ENSG00000240366.1|RPL36AP45,1,2,0,0,0,2
MSTRG.13708|C15orf39,1540,988,294,694,207,563
MSTRG.13709|ENSG00000261779,0,0,0,0,0,0
MSTRG.13708,1135,643,358,395,104,246
ENSG00000260104.1|ENSG00000260104,4,7,1,5,3,10
MSTRG.13712|RN7SL489P,0,1,0,0,0,0
MSTRG.13712|GOLGA6C,39,374,27,19,0,22
MSTRG.13724,4,6,1,20,7,9
MSTRG.13713|RN7SL327P,0,0,0,0,0,0
ENSG00000291229.1|ENSG00000291229,0,0,0,0,0,0
ENSG00000260357.2|DNM1P34,0,0,0,0,0,0
ENSG00000259790.1|ANP32BP1,0,10,5,8,5,13
MSTRG.13714|COMMD4,1781,787,991,614,1500,1731
MSTRG.13756|ENSG00000275645,0,5,14,12,12,13
MSTRG.13757|NEIL1,73,107,139,88,45,102
MSTRG.13757,116,351,1128,1006,296,1254
MSTRG.13758|MIR631,0,0,0,0,0,0
MSTRG.13759|MAN2C1,208,1153,823,1269,393,724
MSTRG.13759,1491,542,2580,773,1133,3405
MSTRG.13760|ENSG00000260274,0,0,2,0,0,0
MSTRG.13759|SIN3A,7549,5938,1459,4661,4245,5176
MSTRG.13731|ENSG00000260269,3,22,7,8,16,19
MSTRG.13731|SNUPN,653,602,103,472,320,452
MSTRG.13736|ENSG00000260235,0,0,0,0,0,0
MSTRG.13717|IMP3,3966,2085,617,1057,831,1694
MSTRG.13719|ENSG00000274515,0,3,11,4,8,0
MSTRG.13720|SNX33,2501,2269,1280,2031,1306,2582
MSTRG.13722|ENSG00000260892,0,0,0,0,0,0
MSTRG.13725|ODF3L1,0,0,6,10,0,0
MSTRG.13728|ENSG00000260288,19,19,8,18,7,24
MSTRG.13730|ENSG00000261043,0,0,0,16,1,2
MSTRG.13730|MIR4313,0,0,0,0,0,0
ENSG00000291009.1|ENSG00000291009,0,0,0,0,0,0
ENSG00000187812.13|GOLGA6EP,0,25,1,0,0,0
ENSG00000241807.3|RN7SL319P,0,0,0,0,0,0
MSTRG.13713|GOLGA6D,50,375,11,12,0,10
MSTRG.13714,632,1154,30,350,58,546
MSTRG.13761|RPL13P4,2,11,29,3,11,17
MSTRG.13762|ENSG00000261714,5,9,23,7,4,19
MSTRG.13763|ENSG00000276744,68,38,40,38,74,89
MSTRG.13731|PTPN9,4015,3850,1202,2437,3526,4205
MSTRG.13732|ENSG00000260165,7,5,5,1,2,0
MSTRG.13733|ENSG00000259931,4,1,2,7,5,4
MSTRG.13734,1,0,0,0,2,16
MSTRG.13735,1,2,3,19,9,10
MSTRG.13731,462,599,154,50,242,435
MSTRG.13716|ENSG00000260206,2,0,3,1,1,9
MSTRG.13718|ENSG00000275454,36,14,6,9,42,6
MSTRG.13715,4,10,24,46,3,13
MSTRG.13721|CSPG4,419,652,304,764,151,369
MSTRG.13723|ENSG00000203392,8,12,49,16,12,15
MSTRG.13726|DNM1P35,44,108,41,29,39,71
MSTRG.13727,28,30,20,32,0,20
MSTRG.13729|PPIAP47,4,0,4,0,0,1
ENSG00000159556.10|ISL2,13,91,8,40,0,0
ENSG00000259514.1|ENSG00000259514,0,4,0,0,0,0
ENSG00000270036.1|ENSG00000270036,1,0,0,0,0,2
MSTRG.13737|UBE2Q2,2002,1770,1211,2155,1484,2012
MSTRG.13738|RN7SL510P,0,2,7,0,2,1
MSTRG.13746|FBXO22,3217,4159,1928,1776,1350,2438
MSTRG.13746,0,0,0,0,3,0
MSTRG.13747|NRG4,7,8,103,9,43,38
MSTRG.13748|ENSG00000260685,0,0,14,0,0,0
MSTRG.13752,0,2,4,0,19,0
MSTRG.13751|ETFA,3187,4517,2450,2411,2352,3459
MSTRG.13751,0,0,25,1258,2,8
MSTRG.13755|ENSG00000287503,0,0,13,2,13,3
MSTRG.13737,285,490,493,232,361,519
MSTRG.13739,2,0,28,0,4,4
MSTRG.13749|TMEM266,359,305,82,53,72,94
MSTRG.13750|ENSG00000259422,8,0,6,0,0,0
MSTRG.13753|Metazoa_SRP,1,0,3,1,3,2
MSTRG.13754|TYRO3P,10,13,79,16,36,15
ENSG00000259565.2|KRT8P23,6,1,0,0,6,0
MSTRG.13741|PSTPIP1,18,27,22,19,70,59
MSTRG.13742|SCAPER,334,618,1082,596,354,487
MSTRG.13742,7,368,71,755,14,0
MSTRG.13743|ENSG00000261232,0,0,4,0,0,0
MSTRG.13744|MIR3713,0,0,0,0,0,0
MSTRG.13740|RCN2,6937,5158,2113,3273,4602,6397
MSTRG.13745|RN7SKP217,1,2,4,2,3,2
MSTRG.13740,2569,3573,1006,1591,867,2078
MSTRG.13770|ENSG00000259652,0,0,0,0,0,0
MSTRG.13769|TSPAN3,6427,6224,3724,8385,4638,5910
MSTRG.13771|ENSG00000278991,47,36,171,88,63,38
MSTRG.13772|ENSG00000269951,36,19,142,29,56,28
MSTRG.13764|PEAK1,676,1502,245,114,1045,347
MSTRG.13765|ENSG00000259722,0,0,0,0,0,0
MSTRG.13767|HMG20A,3924,6742,1480,2262,1330,3077
MSTRG.13768|ENSG00000279033,0,0,0,0,0,0
MSTRG.13764,3235,3958,1901,3484,231,2124
MSTRG.13766|ENSG00000230459,2,4,1,0,1,0
ENSG00000259362.2|ENSG00000259362,0,6,36,14,11,29
ENSG00000259420.5|ENSG00000259420,0,6,2,0,0,0
MSTRG.13773|LINGO1,3518,2812,451,696,32,201
MSTRG.13774|LINGO1-AS1,0,7,19,6,0,0
MSTRG.13775|LINGO1-AS2,0,0,0,0,0,0
MSTRG.13776|ENSG00000280359,0,0,2,0,0,0
MSTRG.13777|ENSG00000259213,0,0,0,0,0,0
ENSG00000260139.7|CSPG4P13,0,4,8,0,0,0
ENSG00000290664.1|ENSG00000290664,0,0,0,0,0,0
MSTRG.13779|ENSG00000291296,24,285,13,5,0,12
MSTRG.13779|GOLGA6FP,0,7,0,0,0,0
MSTRG.13779|RN7SL214P,0,2,0,0,0,0
MSTRG.13779|ENSG00000290665,0,0,0,0,0,0
