id,Label,nodeAttr[nodesPresent, ]
ENST00000304952,HES4,turquoise
ENST00000659124,LINC01128,turquoise
ENST00000511072,PRDM16,turquoise
ENST00000868561,ARHGEF16,turquoise
ENST00000496676,RNF207,turquoise
ENST00000647408,ENO1,turquoise
ENST00000377298,CLSTN1,turquoise
ENST00000377263,CTNNBIP1,turquoise
ENST00000911712,MAD2L2,turquoise
ENST00000376480,NPPA,turquoise
ENST00000711098,DDI2,turquoise
ENST00000442459,HSPB7,turquoise
ENST00000411503,HSPB7,turquoise
ENST00000375142,CAPZB,turquoise
ENST00000674432,CAPZB,turquoise
ENST00000540617,ALPL,turquoise
ENST00000374630,EPHB2,turquoise
ENST00000374619,HTR1D,turquoise
ENST00000471849,LUZP1,turquoise
ENST00000859603,MTFR1L,turquoise
ENST00000374272,TRIM63,turquoise
ENST00000373921,THEMIS2,turquoise
ENST00000373713,FABP3,turquoise
ENST00000342280,GJA4,turquoise
ENST00000359858,ZMYM1,turquoise
ENST00000373075,MEAF6,turquoise
ENST00000372708,SMAP2,turquoise
ENST00000470271,CTPS1,turquoise
ENST00000883345,KDM4A,turquoise
ENST00000928355,DMBX1,turquoise
ENST00000680483,TTC39A,turquoise
ENST00000371566,ORC1,turquoise
ENST00000907006,HOOK1,turquoise
ENST00000498273,L1TD1,turquoise
ENST00000450606,,turquoise
ENST00000635253,DOCK7,turquoise
ENST00000616738,LEPR,turquoise
ENST00000370976,WLS,turquoise
ENST00000885094,PTGFR,turquoise
ENST00000370742,ADGRL4,turquoise
ENST00000674208,ADGRL2,turquoise
ENST00000370225,ABCA4,turquoise
ENST00000370185,PLPPR4,turquoise
ENST00000370163,AGL,turquoise
ENST00000294728,VCAM1,turquoise
ENST00000603679,VCAM1,turquoise
ENST00000894821,TSPAN2,turquoise
ENST00000967206,CSDE1,turquoise
ENST00000864986,MAB21L3,turquoise
ENST00000768352,LINC00623,turquoise
ENST00000734639,LOC105378944,turquoise
ENST00000685012,LOC653513,turquoise
ENST00000695769,PDE4DIP,turquoise
ENST00000526445,PDE4DIP,turquoise
ENST00000369347,PDE4DIP,turquoise
ENST00000545683,H2BC18,turquoise
ENST00000368378,THBS3,turquoise
ENST00000471876,RUSC1,turquoise
ENST00000873828,ARHGEF2,turquoise
ENST00000608007,MIR9-1HG,turquoise
ENST00000488498,MIR9-1HG,turquoise
ENST00000368195,INSRR,turquoise
ENST00000368108,DUSP23,turquoise
ENST00000883984,IGSF8,turquoise
ENST00000368078,CASQ1,turquoise
ENST00000368012,NECTIN4,turquoise
ENST00000680688,ATF6,turquoise
ENST00000495447,MGST3,turquoise
ENST00000443333,STYXL2,turquoise
ENST00000691753,ATP1B1,turquoise
ENST00000333360,SELE,turquoise
ENST00000209929,FMO2,turquoise
ENST00000367725,C1orf105,turquoise
ENST00000361833,ASTN1,turquoise
ENST00000287713,NMNAT2,turquoise
ENST00000460780,TNNT2,turquoise
ENST00000671234,,turquoise
ENST00000515042,TNNT2,turquoise
ENST00000445079,TNNT2,turquoise
ENST00000361379,TNNI1,turquoise
ENST00000367312,TNNI1,turquoise
ENST00000634903,PPP1R12B,turquoise
ENST00000969198,PPP1R12B,turquoise
ENST00000969199,PPP1R12B,turquoise
ENST00000391959,PPP1R12B,turquoise
ENST00000608999,PPP1R12B,turquoise
ENST00000341360,ATP2B4,turquoise
ENST00000713653,PLEKHA6,turquoise
ENST00000713656,PLEKHA6,turquoise
ENST00000579436,RASSF5,turquoise
ENST00000636182,RASSF5,turquoise
ENST00000943400,MAPKAPK2,turquoise
ENST00000476590,CD55,turquoise
ENST00000310833,CD34,turquoise
ENST00000356522,CD34,turquoise
ENST00000881022,PROX1,turquoise
ENST00000881026,PROX1,turquoise
ENST00000366930,TGFB2,turquoise
ENST00000789554,,turquoise
ENST00000949083,IBA57,turquoise
ENST00000366684,ACTA1,turquoise
ENST00000812164,LOC124904544,turquoise
ENST00000679854,AGT,turquoise
ENST00000733246,,turquoise
ENST00000930083,SIPA1L2,turquoise
ENST00000366624,MAP3K21,turquoise
ENST00000366578,ACTN2,turquoise
ENST00000684050,ACTN2,turquoise
ENST00000651786,ACTN2,turquoise
ENST00000348581,EXO1,turquoise
ENST00000407071,KIF26B,turquoise
ENST00000397962,ZMYND11,turquoise
ENST00000380872,AKR1C1,turquoise
ENST00000830110,,turquoise
ENST00000304267,SEC61A2,turquoise
ENST00000378614,SEPHS1,turquoise
ENST00000881961,VIM,turquoise
ENST00000377315,CACNB2,turquoise
ENST00000863063,NEBL,turquoise
ENST00000458595,KIAA1217,turquoise
ENST00000881135,KIAA1217,turquoise
ENST00000754649,,turquoise
ENST00000320985,ZEB1,turquoise
ENST00000424869,ZEB1,turquoise
ENST00000423113,ITGB1,turquoise
ENST00000374867,NRP1,turquoise
ENST00000395995,NRP1,turquoise
ENST00000683007,RET,turquoise
ENST00000340258,RASSF4,turquoise
ENST00000581492,GDF2,turquoise
ENST00000374144,C10orf71,turquoise
ENST00000862410,C10orf71,turquoise
ENST00000433211,CTNNA3,turquoise
ENST00000752870,LOC107984242,turquoise
ENST00000874400,USP54,turquoise
ENST00000491557,ZNF503-AS2,turquoise
ENST00000467529,TMEM254,turquoise
ENST00000623007,LDB3,turquoise
ENST00000687598,LDB3,turquoise
ENST00000361175,PAPSS2,turquoise
