ID,day,Type
Control,0,Control
D1,1,Polyhormonal
D2,2,Polyhormonal
D3,3,Polyhormonal
D4,4,Polyhormonal
D5,5,Polyhormonal
D6,6,Polyhormonal
D10,10,Polyhormonal
D13,13,Polyhormonal
D17,17,Polyhormonal
